Name,IrsSubsection,Location,Ein,Mission
Zion Natural History Association,501(c)(3) Public Charity,"Springdale, UT",87-0256961,"as stated in the organizations 5 year strategic plan (2019-2024), the zion national park forever project believes these sacred and significant -- continued on schedule o--"
Karl G Maeser Preparatory Academy,501(c)(3) Public Charity,"Lindon, UT",20-3373940,"to manage, operate, guide, direct, and promote a public charter school funded by local, state, and federal sources."
Weilenmann School of Discovery,501(c)(3) Public Charity,"Park City, UT",26-4710117,"this public charter school has been established to allow students to discover the power of their own potential - to learn, innovate, and change the world. through desire and choice of curriculum, students will be empowered to engage in advanced learning due to increased interest in topics."
Provo Nonprofit Housing Development Corporation,501(c)(3) Public Charity,"Provo, UT",71-0933645,"provide housing to low-income families in provo, utah."
Rural Utah Child Development,501(c)(3) Public Charity,"Price, UT",87-0271639,head start program
Mountainville Academy,501(c)(3) Public Charity,"Alpine, UT",02-0745426,building tomorrow's leaders one student at a time through academic and character excellence
Ronald Wilson Reagan Academy,501(c)(3) Public Charity,"Springville, UT",56-2533763,"to manage, operate, guide, direct, and promote a public charter school funded by local, state, and federal sources."
SOUTHERN UTAH WILDERNESS ALLIANCE,501(c)(3) Public Charity,"Salt Lake City, UT",94-2936961,"the mission of the southern utah wilderness alliance is the preservation of the outstanding wilderness at the heart of the colorado plateau, and the management of these lands in their natural state for the benefit of all americans."
Utah County Public Defender Association,501(c)(3) Public Charity,"Provo, UT",87-0511100,to provide legal defense services to indigent individuals facing charges in utah county.
Granite Education Foundation Inc,501(c)(3) Public Charity,"Salt Lake City, UT",94-2951639,"the mission of granite education foundation is to improve educational outcomes by strengthening the granite school district community. this is accomplished through the engagement of business and community partners in the support of granite school district and the academic achievement of all its students.

our vision is that we will help prepare granite district students with opportunities to succeed in higher education, career, and life."
Utah Legal Services Inc,501(c)(3) Public Charity,"Salt Lake City, UT",87-0298910,"utah legal services seeks to protect the rights of the disadvantaged and persons of limited means by legal representation, advocacy, and education throughout utah."
Wallace Stegner Academy,501(c)(3) Public Charity,"Salt Lake City, UT",47-3210780,"wallace stegner academy is a rigorous college preparatory charter school designed to prepare students for their future careers as high school students, university students, and beyond."
MORE GOOD FOUNDATION,501(c)(3) Private Operating Foundation,"Orem, UT",20-3385036,this organization has not provided guidestar with a mission statement.
Emma Eccles Jones Foundation,501(c)(3) Private Non-Operating Foundation,"Salt Lake City, UT",87-6155073,this organization has not provided guidestar with a mission statement.
Utah Healthcare Institute Inc,501(c)(3) Public Charity,"Salt Lake City, UT",87-0617263,provide graduate medical education including national accredited community-based graduate medical education program for family physicians.
Gateway Preparatory Academy,501(c)(3) Public Charity,"Cedar City, UT",20-8253001,"to manage, operate, guide, direct, and promote a public charter school funded by local, state, and federal sources. focus on increased individual attention to improve student learning, as well as, allowing students to progress at their own pace."
THE PARK CITY FOUNDATION,501(c)(3) Public Charity,"Park City, UT",30-0171971,park city community foundation is creating an enduring philanthropic community for all the people of park city.
C G Charitable Fund,501(c)(3) Public Charity,"Salt Lake City, UT",20-0495002,"to help alleviate suffering, to promote self-sufficieny through education and to give hope to the poor, the needy and the disadvantaged throughout the world with an emphases on female education."
National Academies of Emergency Dispatch,501(c)(3) Public Charity,"Salt Lake City, UT",87-0498453,"to advance and support the public-safety emergency telecommunications professional and ensure that citizens in need of emergency, health, and social services are matched safely, quickly, and effectively with the most appropriate resource"
Girl Scouts of Utah,501(c)(3) Public Charity,"Salt Lake City, UT",87-0221612,"girl scouts builds girls of courage, confidence, and character, who make the world a better place."
Janet Q Lawson Foundation,501(c)(3) Private Non-Operating Foundation,"Salt Lake City, UT",87-0481508,this organization has not provided guidestar with a mission statement.
The Dixie and Anne Leavitt Foundation,501(c)(3) Private Non-Operating Foundation,"Cedar City, UT",87-0663523,this organization has not provided guidestar with a mission statement.
Boy Scouts of America,501(c)(3) Public Charity,"Ogden, UT",87-0212580,the mission of the boy scouts of america is to prepare young people to make ethical choices over their lifetime by instilling in them the values of the scout oath and law.
Highmark Charter School,501(c)(3) Public Charity,"Ogden, UT",45-3789507,to equip students with the highest quality education while fostering an entrepreneurial spirit by integrating practical business applications throughout the core curriculum.
Channing Hall A Utah Nonprofit Corporation,501(c)(3) Public Charity,"Draper, UT",11-3770248,"to manage, operate, guide, direct, and promote a public charter school funded by local, state, and federal sources."
Rocky Woods Charitable Foundation,501(c)(3) Private Non-Operating Foundation,"Oakley, UT",46-5696556,this organization has not provided guidestar with a mission statement.
Pinnacle Canyon Academy,501(c)(3) Public Charity,"Price, UT",87-0634813,kindergarten through 12th grade charter school in the state of utah.
Utah County Academy of Sciences,501(c)(3) Public Charity,"Orem, UT",83-0413267,a utah public charter school supported by state and federal funding.
Emery Telephone,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Orangeville, UT",87-0217682,"provide to our communities the highest quality, state-of-the-art communications related products and services at affordable rates; provide an enjoyable and beneficial work environment; and otherwise improve the quality of life in our communities."
Dixie College Foundation,501(c)(3) Public Charity,"Saint George, UT",87-0290082,to support education and other 501(c)(3) organizations
Work Activity Center,501(c)(3) Public Charity,"West Valley City, UT",87-0255186,the work activity center enriches the lives of people with disabilites by actively providing opportunities for independence and individual growth.
Terra Academy Inc,501(c)(3) Public Charity,"Vernal, UT",46-5495139,"terra academy focuses on each student as a ""unique"" whole person in a global society by providing individualized instruction in a community learning model through educational experiences including a broad range of curricular options and project-based learning opportunities that nourish individual talents, skills, and desires."
HOUSE OF HOPE,501(c)(3) Public Charity,"Salt Lake City, UT",87-0255206,"our mission is to provide addiction recovery and behavioral health services that help reclaim and rebuild lives, strengthen families, instill accountability, and promote personal growth"
Elizabeth Academy,501(c)(3) Public Charity,"Salt Lake City, UT",26-1172983,"we believe that on the child rests the future of humanity. so we must love, value and respect the children and every child. all children are unique and we will diligently strive to meet them at their individual need, realizing that this benefits the whole. we will focus on all strengths, overcome weakness and imagine possibilities."
CENTER FOR HUMANITARIAN OUTREACH AND INTERCULTURAL EXCHANGE,501(c)(3) Public Charity,"West Jordan, UT",74-2494806,"choice humanitarian is a leadership and capacity building organization ending extreme poverty in remote villages all around the world.  through a learn-by-doing model, communities and their leaders are organized and mobilized to create their own plan out of poverty. our holistic approach integrates the following core areas: economic development, environmental sustainability, health, education, and culture preservation."
Spy Hop Productions Inc,501(c)(3) Public Charity,"Salt Lake Cty, UT",87-0642304,"spy hop productions' mission is to mentor young people in the digital arts to help them find their voice, tell their stories, and be empowered to affect positive change in their lives, their communities, and the world."
Maria Montessori Acaddemy,501(c)(3) Public Charity,"Ogden, UT",26-3938335,to provide an individualized grade k-9 education that promotes academic excellence founded on the authentic philosophy of dr. maria montessori.
﻿University of Vermont Medical Center Inc,501(c)(3) Public Charity,"Burlington, VT",03-0219309,see schedule o
President & Fellows of Middlebury College,501(c)(3) Public Charity,"Middlebury, VT",03-0179298,"at middlebury college we challenge students to participate fully in a vibrant and diverse academic community. the college's vermont location offers an inspirational setting for learning and reflection, reinforcing our commitment to integrating environmental stewardship into both our curriculum and our practices on campus. yet the college also reaches far beyond the green mountains, offering a rich array of undergraduate and graduate programs that connect our community to other places, countries, and cultures. we strive to engage students' capacity for rigorous analysis and independent thought within a wide range of disciplines and endeavors, and to cultivate the intellectual, creative, physical, ethical, and social qualities essential for leadership in a rapidly changing global community. through the pursuit of knowledge unconstrained by national or disciplinary boundaries, students who come to middlebury learn to engage the world."
Rutland Hospital Inc,501(c)(3) Public Charity,"Rutland, VT",03-0183483,"to improve the hlth of the rutland region and surrounding communities by providing appropriate, superior, integrated, preventative, diagnostic and therapeutic health services in a caring environment through the strength of our people, technology & relationships."
The University of Vermont Health Network Medical Group Inc,501(c)(3) Public Charity,"Burlington, VT",03-0225105,"serve as the governing organization for physicians who are employed to provide clinical services to affiliated member hospitals (the ""affiliated hospitals"") of the university of vermont health network (""uvm health network"")."
Central Vermont Medical Center Inc,501(c)(3) Public Charity,"Berlin, VT",22-2547186,"central vermont medical center (cvmc) is the primary health care provider for 66,000 people who live and work in central vermont.  our professional staff of more than 200 physicians and 70 advanced practice providers representing 25 medical specialties provides 24-hour emergency care, and a full spectrum of inpatient and outpatient services. and woodridge rehabilitation and nursing provides exceptional long-term and short-term care conveniently located on our main campus. cvmc’s 23 community-based medical group clinics, local physician practices, and expresscare reach across the hills and hollows of our region. for more than 50 years, we have been dedicated to our mission: central to our community. caring for a lifetime."
Southwestern Vermont Medical Center Inc,501(c)(3) Public Charity,"Bennington, VT",22-2563241,"to care for and comfort our patients, residents, and their loved ones and to improve the health status of the communities we serve. see schedule o for additional details."
Norwich University,501(c)(3) Public Charity,"Northfield, VT",03-0179424,norwich university's mission is to give our youth an education that shall be american in character.
CHAMPLAIN COLLEGE INC,501(c)(3) Public Charity,"Burlington, VT",03-0220266,"champlain college endeavors to be a leader in educating today's students to become skilled practitioners, effective professionals and engaged global citizens. champlain's agile and entrepreneurial approach to higher education uniquely blends technology leadership, market savvy, innovation and fiscal responsibility with a commitment to liberal learning, community involvement and ""the human touch."" this distinctive approach permeates the delivery of relevant, rigorous student-centered programs in business, arts, applied technology and public service."
"World Learning, Inc.",501(c)(3) Public Charity,"Brattleboro, VT",03-0179592,"world learning is a nonprofit organization advancing leadership in more than 60 countries. we envision a just world, driven by engaged citizens and thriving communities. our mission is to empower people and strengthen institutions through education, development, and exchange programs."
Northwestern Medical Center Inc,501(c)(3) Public Charity,"Saint Albans, VT",03-0266986,northwestern medical center's mission is to provide exceptional healthcare for our community
Saint Michaels College,501(c)(3) Public Charity,"Colchester, VT",03-0179403,it is the mission of saint michael's college to contribute through higher education to the enhancement of the human person and to the advancement of human culture in the light of the catholic faith.
Howard Center Inc.,501(c)(3) Public Charity,"Burlington, VT",03-0179433,"howard center works to improve the well-being of children, adults, families, and communities by providing mental health, developmental disabilities, substance abuse, and child/family treatment services."
Area Resource for Individualized Services Inc,501(c)(3) Public Charity,"White River Junction, VT",04-3342213,"provides innovative and efficient financial, payroll and administrative services to individuals, families, and nonprofit entities using a person centered approach."
"North Country Hospital & Health Center,Inc",501(c)(3) Public Charity,"Newport, VT",03-0185556, None
Northeastern Vermont Regional Hospital Inc,501(c)(3) Public Charity,"Saint Johnsbury, VT",03-6013761,"northeastern vermont regional hospital, inc. is dedicated to improving the health of all people in the communities it serves."
Brattleboro Memorial Hospital,501(c)(3) Public Charity,"Brattleboro, VT",03-0107300,brattleboro memorial hospital will provide community-based quality health services delivered with compassion and respect.
VERMONT ENERGY INVESTMENT CORPORATION,501(c)(3) Public Charity,"Burlington, VT",03-0304418,"vermont energy investment corporations mission is to reduce the economic, social andenvironmental costs of energy consumption through the promotion of cost-effectiveenergy efficiency and renewable energy technologies. veic provides services for ""efficiency vermont,"" the nation's first statewide energy efficiency utility (eeu). veic alsoprovides residential and business energy services and planning and evaluation services."
Porter Hospital Inc Hcsr,501(c)(3) Public Charity,"Middlebury, VT",03-0181058,"the mission of porter medical center and its subsidiary companies is to improve the health of our community, one patient at a time."
Vermont Electric Cooperative Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Johnson, VT",03-0164375,vermont electric cooperative is a member owned not-for-profit utility whose mission is to provide energy and other appropriate services to its members.
Brattleboro Retreat,501(c)(3) Public Charity,"Brattleboro, VT",03-0107360,"inspired by the courage of our patients, the brattleboro retreat is dedicated to children, adolescents and adults in their pursuit of recovery from mental illness, psychological trauma and addiction. "
"Aspire Living & Learning, Inc.",501(c)(3) Public Charity,"Barre, VT",03-0284103,we build strong communities by empowering individuals.
Bennington College Corporation,501(c)(3) Public Charity,"Bennington, VT",03-0179414,see schedule o.
Copley Hospital Inc,501(c)(3) Public Charity,"Morrisville, VT",03-0179423,to help people live healthier lives by providing exceptional care and superior service.
Windsor Hospital Corporation,501(c)(3) Public Charity,"Windsor, VT",03-0183721,mt. ascutney hospital and health center's mission is to improve the lives of those we serve.
"Gifford Medical Center, Inc.",501(c)(3) Public Charity,"Randolph, VT",03-0179418,"as a community hospital, gifford medical center's mission is to improve the health of the people we serve by providing and assuring access to affordable and high-quality health care, and by promoting the health and well-being of everyone in our service area."
WASHINGTON COUNTY MENTAL HEALTH SERVICES INC,501(c)(3) Public Charity,"Barre, VT",03-0215872,washington county mental health services advocates inclusion of all persons into our community and actively encourages self-determination and recovery by serving individuals and families coping with mental health and developmental disability-related challanges with model services to assist them in achieving their highest level of potential and quality of life.
University of Vermont and State Agricultural College Foundation,501(c)(3) Public Charity,"Burlington, VT",45-1556038,the mission of the uvm foundation is to secure and manage private support for the benefit of the university of vermont.
Springfield Hospital Inc,501(c)(3) Public Charity,"Springfield, VT",03-0179437,"we will accomplish this by: empowering our caregivers with education, technology, and opportunities for personal and professional development; creating an environment which builds collaborative relationships among clinicians, staff, and patients;  providing our communities with the educational resources and support to make informed decisions and apply preventive care; and,
 offering safe, personalized, high-quality care."
Northwestern Counseling & Support Services Inc,501(c)(3) Public Charity,"Saint Albans, VT",03-0210542,provide mental health services
HEALTH CARE AND REHABILITATION SERVICES OF SOUTHEASTERN VERMONT I,501(c)(3) Public Charity,"Springfield, VT",23-7017624,"our mission is to provide creative, collaborative, and compassionate health care services that are responsive to the needs of our communities. we envision a community where people are inspired, empowered, and supported to lead healthy and meaningful lives."
Vermont State Employees Credit Union,501(c)(14) Credit Unions and Other Mutual Financial Organizations,"Montpelier, VT",03-0184985,our mission is dedicated to improving the quality of lives for all vermonters.
Community Health Centers of the Rutland Region Inc,501(c)(3) Public Charity,"Rutland, VT",22-1179701,to provide quality health care and disease prevention services for all the residents of the rutland region
NORTHEAST KINGDOM HUMAN SERVICES INC,501(c)(3) Public Charity,"Newport, VT",03-0212039,the mission of nkhs is to enrich communities and enhance the ability of individuals and families to improve their lives.
University of Vermont Health Network Home Health & Hospice,501(c)(3) Public Charity,"Colchester, VT",03-0179603,"we help people live their fullest lives by providing innovative, high-value, compassionate care wherever they call home."
Vermont Law School Inc,501(c)(3) Public Charity,"South Royalton, VT",23-7251952,we are committed to developing a generation of leaders who use the power of the law to make a difference in our communities and the world.
St Johnsbury Academy,501(c)(3) Public Charity,"Saint Johnsbury, VT",03-0181215,"this is the mission of st. johnsbury academy, a diverse, comprehensive, and independent educational community grounded by our traditions, our deep optimism regarding young people, and our commitment to academic excellence: to teach good character by modeling and fostering compassion, respect, responsibility, and integrity. to foster a love for learning by challenging individuals to pursue knowledge, creativity, and intellectual self-reliance. to encourage each individual to understand his or her relationships, rights, and responsibilities within a community that is itself part of the larger world."
Vermont Community Foundation,501(c)(3) Public Charity,"Middlebury, VT",22-2712160,"the community foundation inspires giving and brings people and resources together to make a difference in vermont. a family of hundreds of funds, we provide the advice, investment vehicles, and back-office expertise that make it easy for the people who care about vermont to find and fund the causes they love.

since late 2017, closing the opportunity gap has been the heart of our work. this gap leaves too many vermonters struggling to get ahead, no matter how hard they work. we are aligning our resources to support efforts that provide access to early care and learning, pathways to college and career training, support for youth and families, and community and economic vitality. we envision vermont at its best—where everyone has the the opportunity to build a bright, secure future."
Landmark College Inc,501(c)(3) Public Charity,"Putney, VT",22-2586208,"private post secondary institution for high potential students with learning differences such as dyslexia, attention deficit disorder, or autism spectrum disorders providing educational services, leading to an associate or bachelor's degree."
Community Health Centers of Burlington Inc,501(c)(3) Public Charity,"Burlington, VT",23-7182584,the mission of the community health centers of burlington (chcb) is to improve the health of all within the communities chcb serves. chcb is dedicated to providing exceptional care with respect and compassion and with a commitment to serving people regardless of financial status or life circumstance.
Rutland Mental Health Service Inc,501(c)(3) Public Charity,"Rutland, VT",03-0210725,mental health services
Vermont Housing Finance Agency,501(c)(3) Public Charity,"Burlington, VT",03-0239902,see schedule o
Springfield Medical Care Systems Inc,501(c)(3) Public Charity,"Springfield, VT",03-0284813,"our mission is to excel at providing personalized, quality care; where people come first. our vision is to be the provider of choice by creating a professional environment where patients want to receive care, clinicians want to practice medicine, (continued on schedule o) and employees want to work. our plan is to accomplish this by: - empowering our caregivers with education, technology, and opportunities for personal and professional development;- creating an environment, which builds collaborative relationships among clinicians, staff, and patients;- providing our communities with the educational resources and support to make informed decisions emphasizing prevention and wellness; and,- offering safe, personalized, high-quality care."
Broadline Risk Retention Group Inc,501(c)(3) Public Charity,"Colchester, VT",27-2583356,"broadline risk retention group, inc. is a nonprofit vermont corporation organized and operated as a captive insurance company exclusively to support the albert einstein healthcare network (""aehn"") and the charitable healthcare activities of the member organizations of aehn. the aehn members operate facilities that provide general medical and health services, teaching facilities, behavioral health services, rehabilitation, acute care and emergency services. the company assists aehn and the aehn members in managing risks and paying claims and claims expenses incurred in carrying out their exempt healthcare purposes. as such, the company is an integral part of their exempt activities."
Northern Counties Health Care Inc,501(c)(3) Public Charity,"Saint Johnsbury, VT",51-0199559,"to provide high quality, accessible, patient-centered care."
Vermont Foodbank,501(c)(3) Public Charity,"Barre, VT",22-3021942,the mission of the vermont foodbank is to gather and share quality food and nurture partnerships so that no one in vermont will go hungry. 
Wake Robin Corp,501(c)(3) Public Charity,"Shelburne, VT",22-2535376,establish a sustainable dynamic community of seniors that honors both mutual support and independence and addresses the health and wellness of each resident.
Visiting Nurse and Hospice for Vermont and New Hampshire,501(c)(3) Public Charity,"White River Junction, VT",03-6006494,we are dedicated to delivering outstanding home health and hospice services that enrich the lives of the people we serve.
Planned Parenthood of Northern New England,501(c)(3) Public Charity,"Colchester, VT",03-0222941,"founded in 1965, the mission of planned parenthood of northern new england (ppnne) is to provide, promote and protect access to reproductive health and sexuality education so that all people can make voluntary choices about their reproductive and sexual health. ppnne works to achieve its mission with a three-pronged approach which includes provision of reproductive health care services, sexuality education and professional training, and public policy work to protect and enhance reproductive rights."
GRACE COTTAGE FAMILY HEALTH & HOSPITAL,501(c)(3) Public Charity,"Townshend, VT",03-0177161,"to serve the healthcare needs of our community; to promote wellness, relieve suffering, and restore health."
"Rutland Area Visiting Nurse Assn., Inc.",501(c)(3) Public Charity,"Rutland, VT",03-0185024,"vna & hospice of the southwest region (formerly known as rutland area visiting nurse association) was founded in 1946 to offer home and community services to all, delivering comprehensive services that promote good health to the community, while fostering dignity and independence in the home environment."
COUNSELING SERVICE OF ADDISON COUNTY INC,501(c)(3) Public Charity,"Middlebury, VT",03-0212396,"the counseling service of addison county is committed to promoting stable and safe communities by helping people live emotionally healthy and satisfying lives. we strive to provide the bset mental health, substance abuse, and developmental services to improve the quality of life for all community members. we work collaboratively with community organizations to help individuals and families achieve maximum wellness."
Holstein Friesian Association of America,"501(c)(5) Labor, Agricultural and Horticultural Organizations","Brattleboro, VT",03-0130760,"provide leadership, information and services to help members and dairy producers worldwide be successful."
College Insurance Company,501(c)(3) Public Charity,"Colchester, VT",02-0630294,"college provides various insurance coverage to educational & institutional insurance administrators, inc. (eiia), and its participating higher education institutions, rooted in a religious tradition."
Upper Valley Services Inc,501(c)(3) Public Charity,"White River Junction, VT",03-0305008,"upper valley services, inc. provides opportunity, support, and assistance to people with developmental disabilities enabling them to safely live, work and socialize in their communities in ways which are based upon their individual needs, values, interests and choices."
Vermont Land Trust Inc,501(c)(3) Public Charity,"Montpelier, VT",03-0264836,vermont land trust conserves land for the future of vermont.
The University of Vermont Health Network Inc,501(c)(3) Public Charity,"Burlington, VT",45-2880726,"the corporation is organized and shall be operated exclusively for the benefit of, to perform the functions of, and to carry out the exclusively charitable, educational, and/or scientific purposes within (continued in schedule o)"
Burr and Burton Academy,501(c)(3) Public Charity,"Manchester, VT",03-0179404,"burr and burton academy's mission is to educate its students, intellectually and morally, for a life of responsibility, integrity, and service. it is a coeducational, nondenominational day school enrolling 756 students in grades 9 through 12. a small boarding program houses international students with local families. located in the historic new england village of manchester, burr and burton offers a college preparatory curriculum as well as general business and occupational programs. students may also choose from among six areas of concentration: visual and performing arts, information technology, foreign languages, business, and vocational technology."
North American Family Institute Inc,501(c)(3) Public Charity,"South Burlington, VT",03-0304434,residential social services
CHAMPLAIN VALLEY OFFICE OF ECONOMIC OPPORTUNITY INC,501(c)(3) Public Charity,"Burlington, VT",03-0216837,"cvoeo's mission is to address fundamental issues of economic, social, and racial justice and to work with low-income people to achieve economic independence."
"United Counseling Service of Bennington County, Inc.",501(c)(3) Public Charity,"Bennington, VT",03-0199213,mission
"Champlain Housing Trust, Inc.",501(c)(3) Public Charity,"Burlington, VT",22-2536446,the champlain housing trust is a community land trust that supports the people of northwest vermont and strengthens their communities through the development and stewardship of permanently affordable homes.
"Greater Burlington YMCA, Inc.",501(c)(3) Public Charity,"Burlington, VT",03-0185810,"our mission - to build a strong community by involving youth, adults, and families in programs and activities which develop spirit, mind, and body.

our vision -the greater burlington ymca is widely known and respected as a charitable, collaborative and mission-based community center that transforms people’s lives and strengthens communities. we are an acknowledged leader in the fields of wellness, fitness, child care and education."
LAMOILLE COUNTY MENTAL HEALTH,501(c)(3) Public Charity,"Morrisville, VT",03-0219658,to provide mental health services
Copley Professional Services Group Inc,501(c)(3) Public Charity,"Morrisville, VT",04-3358048,to provide quality integrated health care services and promote wellness for residents of the lamoille valley region.
PUTNEY SCHOOL INC,501(c)(3) Public Charity,"Putney, VT",03-0179305,"the putney school is a co-educational boarding and day school for grades 9-12 founded in 1935 by carmelita hinton. we are a progressive school, in that we value the idea that education is something to be actively pursued rather than passively received.  when students learn by doing rather than being told, they develop confidence, deeper understanding, and resolve. our continued commitment to ms. hinton's fundamental beliefs, and our deliberate choices for our community and curriculum have put putney at the leading edge of education in america."
First Medical Insurance Compant A Risk Retention Group,501(c)(3) Public Charity,"Burlington, VT",01-0719207,the organization provides insurance for the children's hospital of philadelphia and certain affiliated tax-exempt organizations.
Corporation of Marlboro College,501(c)(3) Public Charity,"Marlboro, VT",03-0179593,"marlboro college cultivates a close-knit, intentionally small learning community where independent thinkers can explore their deepest interests, collaborate with faculty as colleagues, and set the course for their own intellectual and professional pursuits. located in southeastern vermont, marlboro comprises an undergraduate campus in the town of marlboro and a graduate center in nearby brattleboro. combined enrollment for undergraduate and graduate programs is less than 500 students."
Vermont Academy,501(c)(3) Public Charity,"Saxtons River, VT",03-0179600,"mission

by providing a supportive community and close personal attention to its students, vermont academy develops confident, active learners and respectful citizens.

purpose

vermont academy is a small secondary school, primarily boarding in nature, that sees the potential and value of every student and prepares them to thrive in college and life.

vision

using the core beliefs as a guide, vermont academy graduates engage in the world as critical thinkers and make a positive difference in the global community."
Concrete Foundation Inc,501(c)(3) Private Operating Foundation,"Morrisville, VT",20-3794063,this organization has not provided guidestar with a mission statement.
"Capstone Community Action, Inc.",501(c)(3) Public Charity,"Barre, VT",03-0216254,"capstone provides comprehensive services to help people achieve economic well-being with dignity and develops partnerships to strengthen vermont communities.  our commitment is to alleviate the suffering caused by poverty, to work with individuals and families to move out of poverty, and to advocate for economic justice for all vermonters."
Central Vermont Home Health & Hospice Inc,501(c)(3) Public Charity,"Barre, VT",03-0186089,"provide comprehensive, high quality home health and hospice care to all central vermonters, regardless of their ability to pay. in addition, the agency promotes the general welfare of the citizens of central vermont with health promotion and long term care services."
Richford Health Center Inc,501(c)(3) Public Charity,"Richford, VT",03-0215982,"the mission of the richford health center, inc., is to guard, promote, preserve and restore the health of persons residing in richford, alburg, enosburg, st. albans, swanton and surrounding areas."
Academic Physicians Insurancecompany,501(c)(3) Public Charity,"Colchester, VT",20-4687937,"organized and operated for the exclusive purpose of supporting the university of oklahoma's & its affiliated entities' academic, educational, research, clinical care, and indigent care missions. accordingly, its services are limited to providing professional, general, and other insurance coverage and related services to the university and its affiliates."
Gifford Health Care Inc,501(c)(3) Public Charity,"Randolph, VT",46-0938716,"as a community health center & medical home, gifford's mission is to improve and manage the health of the people we serve by providing and assuring access to affordable, high-quality health care, and by promoting the health and well-being of everyone in our service area."
Vermont Public Transportation Association Inc,501(c)(4) Civic Leagues and Social Welfare Organizations,"Bennington, VT",03-0305251,improve mobility in vermont by increasing awareness of public transportation
President & Friends of Middlebury College,501(c)(3) Public Charity,"Middlebury, VT",03-0285938,"the corporation is organized exclusively for promoting all of the educational purposes, and only those purposes, which the president and fellows of middlebury college (middlebury college) exists to fulfill, through cultivating, entertaining, and enlisting the support of donors, alumni, students, parents of students, faculty, guests, and other friends of the college, in furtherance of which the corporation will undertake the following: to acquire and hold liquor licenses in order to serve alcoholic beverages in that location and at middlebury college functions taking place at other locations on middlebury college property."
Lyndon Institute,501(c)(3) Public Charity,"Lyndon Center, VT",03-0182055,"lyndon institute is a comprehensive, independent high school providing thoughtful and rigorous preparation for students of the northeast kingdom of vermont and beyond to reach their intellectual, creative, and physical potential.  "
Shelburne Farms,501(c)(3) Public Charity,"Shelburne, VT",03-0229347,"shelburne farms is a nonprofit organization dedicated to inspiring and cultivating learning for a sustainable future.
 
the farm advances education for sustainability in vermont, nationally, and internationally through its professional learning for teachers, farm to school, and farm-based education programs. shelburne farms plays a leadership role in such groundbreaking educational initiatives as the sustainable schools project, a forest for every classroom, and a watershed for every classroom. the farm supports the national and vermont farm to school networks, vermont food education every day, and the farm-based education network.

located on abenaki land along the shores of lake champlain, our home campus is a 1,400-acre working farm, forest, and national historic landmark."
CATHEDRAL SQUARE,501(c)(3) Public Charity,"South Burlington, VT",03-0264362,"cathedral square is a national leader in affordable, service-enriched housing for older adults and people with special needs. we operate 25 affordable-housing communities in vermont, provide technical assistance to other nonprofits, and administer our nationally recognized sash (support and services at home) program statewide. since 1977 we have doggedly pursued our mission to advance “healthy homes, caring communities and positive aging.” compassion for the least among us is a key value. we believe everyone has a right to decent, affordable housing and the support they need to live in health and dignity. at every level, we work collectively to ensure each resident has a safe and supportive home that is exactly that--a home. see our full mission statement here: cathedralsquare.org/mission."
Mount Anthony Housing Corporation,501(c)(3) Public Charity,"Bennington, VT",03-0279740,"the purpose of the housing corporation shall be to provide and promote long term, short stay convalescent, and assisted living to members of our community."
Southern Vermont College,501(c)(3) Public Charity,"Bennington, VT",03-0214106,provide full-time and part-time post-secondary educational services
Aloha Foundation,501(c)(3) Public Charity,"Fairlee, VT",03-6016791,"our mission is to inspire people of all ages to learn, explore, grow, and become their best selves."
Promedica Indemnity Insurance Corporation,501(c)(3) Public Charity,"Burlington, VT",34-1931936,"promedica indemnity corporation will provide medical professional and general liability insurance coverage exclusively for promedica health system, inc. and its subsidiaries."
Clara Martin Center Inc,501(c)(3) Public Charity,"Randolph, VT",03-0220733,"the clara martin center is a community based, non-profit organization that provides acute and long term behavioral health care services. we strive to be consumer-sensitive, cost-effective and outcome based."
VERMONT PUBLIC RADIO,501(c)(3) Public Charity,"Colchester, VT",03-0259051,"vpr provides an essential and trusted independent voice for news, information, music and cultural exploration for the people of our region."
Vermont Associates for Training & Development Inc,501(c)(3) Public Charity,"Saint Albans, VT",03-0288192,the mission of associates for training and development(a4td) is to assist mature workers to become the best-qualified candidate for jobs consistent with their interest and abilities.
Calvin Coolidge Presidential Foundation,501(c)(3) Public Charity,"Plymouth, VT",03-6009701,"our mission is to open the eyes of the world to calvin coolidge. we seek to do this by reaching out to younger generations via merit scholarships, debate competitions, and encouragement of scholarly research and education. we aim to be the gateway to all things coolidge, offering or pointing the way to documents and archival material that verify, clarify, and interpret president coolidge's life, character and philosophy."
Helen Porter Nursing Home Inc,501(c)(3) Public Charity,"Middlebury, VT",03-0306549,"the mission of helen porter rehabilitation and nursing is to improve the health of our community, one person at a time."
Long Trail School Inc,501(c)(3) Public Charity,"Dorset, VT",03-0253366,"to provide an intellectually enriching college-preparatory curriculum in a supportive, caring environment to foster in each student a lifelong commitment to excellence."
Laraway Youth and Family Services,501(c)(3) Public Charity,"Johnson, VT",03-0276110,"laraway empowers children, youth, and families to develop awareness of their abilities and assets in order to live safe, fulfilling lives."
